

  1r          |                       |    |    |    |(I )(I )      |     
  2r          |                       |    |    |    |(I )(I )      |     
  3:          |                       |    |    |    |(I )(I )      |     
  4:  #       |                       |    |    |    |(TC)(I )      |     
  5:  #       |                       |    |    |    |(RR)(I ) rd>  |     
  6:  #       |                       |    |    |    |(RW)(I )   >rd|     
  7:  #       |                       |    |    |    |(RU)(I )      |     
  8:  #       |                       |    |    |    |(RD)(I )      |     
  9:  00000200|                       |    |    |    |(W )(I )      |     
 10:  #       |auipc  x03, 0x00001    |    |    |    |(I )(I )      |     
 11:  #       |                       |auiP|    |    |(TC)(I )      |     
 12:  #       |                       |    |auiP|    |(RD)(I )      |     
 13:  00000204|                       |    |    |auiP|(W )(I )      |     
 14:  #       |addi   x03, x03, 0x570 |    |    |    |(I )(I )      |     
 15:  #       |                       |addi|    |    |(TC)(I )      |     
 16:  #       |                       |    |addi|    |(RD)(I )      |     
 17:  00000208|                       |    |    |addi|(W )(I )      |     
 18:  #       |addi   x01, x00, 0x000 |    |    |    |(I )(I )      |     
 19:  #       |                       |addi|    |    |(TC)(I )      |     
 20:  #       |                       |    |addi|    |(RD)(I )      |     
 21:  0000020c|                       |    |    |addi|(W )(I )      |     
 22:  #       |addi   x02, x00, 0x000 |    |    |    |(I )(I )      |     
 23:  #       |                       |addi|    |    |(TC)(I )      |     
 24:  #       |                       |    |addi|    |(RR)(I ) rd>  |     
 25:  #       |                       |    |    |addi|(RW)(I )   >rd|     
 26:  #       |                       |    |    |    |(RU)(I )      |     
 27:  #       |                       |    |    |    |(RD)(I )      |     
 28:  00000210|                       |    |    |    |(W )(I )      |     
 29:  #       |addi   x04, x00, 0x000 |    |    |    |(I )(I )      |     
 30:  #       |                       |addi|    |    |(TC)(I )      |     
 31:  #       |                       |    |addi|    |(RD)(I )      |     
 32:  00000214|                       |    |    |addi|(W )(I )      |     
 33:  #       |addi   x05, x00, 0x000 |    |    |    |(I )(I )      |     
 34:  #       |                       |addi|    |    |(TC)(I )      |     
 35:  #       |                       |    |addi|    |(RD)(I )      |     
 36:  00000218|                       |    |    |addi|(W )(I )      |     
 37:  #       |addi   x06, x00, 0x000 |    |    |    |(I )(I )      |     
 38:  #       |                       |addi|    |    |(TC)(I )      |     
 39:  #       |                       |    |addi|    |(RD)(I )      |     
